Location,Year,Volume
Philippines,1990,9848.06
Philppines,1991,9584.46
Philppines,1992,7536.58
Philppines,1993,7706.66
Philppines,1994,7944.64
Philppines,1995,7927.39
Philppines,1996,7895.48
Philppines,1997,7843.61
Philppines,1998,7386.83
Philppines,1999,7667.25
Philppines,2000,6627.82
Philppines,2001,6530.56
Philppines,2002,5802.77
Philppines,2003,5692.83
Philppines,2004,5648.33
Philppines,2005,5678.81
Philppines,2006,5414.63
Philppines,2007,5237.24
Philppines,2008,5148.88
Philppines,2009,5133.76
Philppines,2010,5019.43
Philppines,2011,4856.48
Philppines,2012,4831.34
Philppines,2013,4875.82
Philppines,2014,5427.66
Philppines,2015,6023.34
Philppines,2016,6262.77
Ilocos Region,1990,86.1
Ilocos Region,1991,85.19
Ilocos Region,1992,82
Ilocos Region,1993,57.49
Ilocos Region,1994,57.06
Ilocos Region,1995,52.75
Ilocos Region,1996,52.43
Ilocos Region,1997,52.06
Ilocos Region,1998,50.85
Ilocos Region,1999,51.2
Ilocos Region,2000,51.68
Ilocos Region,2001,52.12
Ilocos Region,2002,52.53
Ilocos Region,2003,53.77
Ilocos Region,2004,52.87
Ilocos Region,2005,47.41
Ilocos Region,2006,47.91
Ilocos Region,2007,47.65
Ilocos Region,2008,50.2
Ilocos Region,2009,48.55
Ilocos Region,2010,46.25
Ilocos Region,2011,44.85
Ilocos Region,2012,42.29
Ilocos Region,2013,39.19
Ilocos Region,2014,40.1
Ilocos Region,2015,40.01
Ilocos Region,2016,40.36
Cagayan Valley,1990,52.73
Cagayan Valley,1991,54.4
Cagayan Valley,1992,43.63
Cagayan Valley,1993,43
Cagayan Valley,1994,48.77
Cagayan Valley,1995,48.93
Cagayan Valley,1996,27.61
Cagayan Valley,1997,68.21
Cagayan Valley,1998,93
Cagayan Valley,1999,98.73
Cagayan Valley,2000,107.04
Cagayan Valley,2001,109.05
Cagayan Valley,2002,104.39
Cagayan Valley,2003,100.11
Cagayan Valley,2004,95.66
Cagayan Valley,2005,60.13
Cagayan Valley,2006,91.75
Cagayan Valley,2007,104.17
Cagayan Valley,2008,109.01
Cagayan Valley,2009,115.75
Cagayan Valley,2010,82.59
Cagayan Valley,2011,63.5
Cagayan Valley,2012,61.57
Cagayan Valley,2013,69.43
Cagayan Valley,2014,74.69
Cagayan Valley,2015,90.75
Cagayan Valley,2016,125.37
Central Luzon,1990,11.09
Central Luzon,1991,9.4
Central Luzon,1992,7.85
Central Luzon,1993,5.98
Central Luzon,1994,1.33
Central Luzon,1999,1.3
Central Luzon,2000,3
Central Luzon,2001,3.6
Central Luzon,2002,5
Central Luzon,2003,25.8
Central Luzon,2004,36.5
Central Luzon,2005,46
Central Luzon,2006,37
Central Luzon,2007,38.1
Central Luzon,2008,39.5
Central Luzon,2009,41
Central Luzon,2010,42.2
Central Luzon,2011,43.55
Central Luzon,2012,45.63
Central Luzon,2013,44.8
Central Luzon,2014,47.85
Central Luzon,2015,54.05
Central Luzon,2016,87.25
CALABARZON,1990,61.48
CALABARZON,1991,59.94
CALABARZON,1992,53.39
CALABARZON,1993,55.5
CALABARZON,1994,53.17
CALABARZON,1995,51.89
CALABARZON,1996,41.97
CALABARZON,1997,51.49
CALABARZON,1998,52.18
CALABARZON,1999,53.03
CALABARZON,2000,54.77
CALABARZON,2001,60.46
CALABARZON,2002,60.09
CALABARZON,2003,54.14
CALABARZON,2004,52.51
CALABARZON,2005,44.9
CALABARZON,2006,38.11
CALABARZON,2007,25.74
CALABARZON,2008,22.62
CALABARZON,2009,22.07
CALABARZON,2010,21.64
CALABARZON,2011,21.45
CALABARZON,2012,20.12
CALABARZON,2013,19.46
CALABARZON,2014,20.38
CALABARZON,2015,13.86
CALABARZON,2016,17.1
MIMAROPA,1990,81.48
MIMAROPA,1991,76.98
MIMAROPA,1992,75.32
MIMAROPA,1993,79.03
MIMAROPA,1994,76.1
MIMAROPA,1995,73.5
MIMAROPA,1996,44.53
MIMAROPA,1997,46.03
MIMAROPA,1998,44.96
MIMAROPA,1999,44.86
MIMAROPA,2000,42.83
MIMAROPA,2001,41.36
MIMAROPA,2002,40.99
MIMAROPA,2003,36.86
MIMAROPA,2004,34.7
MIMAROPA,2005,34.6
MIMAROPA,2006,33.13
MIMAROPA,2007,39.71
MIMAROPA,2008,44.14
MIMAROPA,2009,48.97
MIMAROPA,2010,56.97
MIMAROPA,2011,60.84
MIMAROPA,2012,64.11
MIMAROPA,2013,65.61
MIMAROPA,2014,82.53
MIMAROPA,2015,91.71
MIMAROPA,2016,84.26
Bicol Region,1990,52.32
Bicol Region,1991,53.97
Bicol Region,1992,42.64
Bicol Region,1993,43
Bicol Region,1994,42.32
Bicol Region,1995,44.98
Bicol Region,1996,40.26
Bicol Region,1997,46
Bicol Region,1998,44.28
Bicol Region,1999,27
Bicol Region,2000,24.38
Bicol Region,2001,22.14
Bicol Region,2002,28.52
Bicol Region,2003,30.17
Bicol Region,2004,37.21
Bicol Region,2005,34.37
Bicol Region,2006,33.05
Bicol Region,2007,23.04
Bicol Region,2008,29.01
Bicol Region,2009,30.12
Bicol Region,2010,31.4
Bicol Region,2011,31.5
Bicol Region,2012,32.97
Bicol Region,2013,34.21
Bicol Region,2014,34.76
Bicol Region,2015,35.76
Bicol Region,2016,37.98
Western Visayas,1990,430.64
Western Visayas,1991,385
Western Visayas,1992,305.4
Western Visayas,1993,314
Western Visayas,1994,324.82
Western Visayas,1995,203.12
Western Visayas,1996,122.41
Western Visayas,1997,118.42
Western Visayas,1998,102.62
Western Visayas,1999,105.45
Western Visayas,2000,107.48
Western Visayas,2001,107.94
Western Visayas,2002,106.47
Western Visayas,2003,103.09
Western Visayas,2004,97.78
Western Visayas,2005,93.37
Western Visayas,2006,91.36
Western Visayas,2007,80.08
Western Visayas,2008,76.93
Western Visayas,2009,73.73
Western Visayas,2010,66.97
Western Visayas,2011,59.22
Western Visayas,2012,61.87
Western Visayas,2013,62.56
Western Visayas,2014,60.4
Western Visayas,2015,65.06
Western Visayas,2016,60.2
Central Visayas,1990,102.19
Central Visayas,1991,96.73
Central Visayas,1992,83.84
Central Visayas,1993,85.27
Central Visayas,1994,86.18
Central Visayas,1995,94.16
Central Visayas,1996,94.38
Central Visayas,1997,99.95
Central Visayas,1998,94.71
Central Visayas,1999,95.26
Central Visayas,2000,84.24
Central Visayas,2001,78.79
Central Visayas,2002,78.71
Central Visayas,2003,80.49
Central Visayas,2004,78.46
Central Visayas,2005,73.17
Central Visayas,2006,71.96
Central Visayas,2007,72.3
Central Visayas,2008,64.58
Central Visayas,2009,61.48
Central Visayas,2010,54.18
Central Visayas,2011,52.74
Central Visayas,2012,54.01
Central Visayas,2013,57.05
Central Visayas,2014,55.59
Central Visayas,2015,62.89
Central Visayas,2016,66.47
Eastern Visayas,1990,137.21
Eastern Visayas,1991,124.57
Eastern Visayas,1992,98.16
Eastern Visayas,1993,103
Eastern Visayas,1994,129.32
Eastern Visayas,1995,120.99
Eastern Visayas,1996,128.01
Eastern Visayas,1997,125.78
Eastern Visayas,1998,117.79
Eastern Visayas,1999,135.75
Eastern Visayas,2000,132.59
Eastern Visayas,2001,127.43
Eastern Visayas,2002,127.19
Eastern Visayas,2003,128.84
Eastern Visayas,2004,131.08
Eastern Visayas,2005,135.37
Eastern Visayas,2006,131.28
Eastern Visayas,2007,131.22
Eastern Visayas,2008,129.03
Eastern Visayas,2009,127.33
Eastern Visayas,2010,122.03
Eastern Visayas,2011,116.6
Eastern Visayas,2012,114.44
Eastern Visayas,2013,95.86
Eastern Visayas,2014,78.66
Eastern Visayas,2015,75.06
Eastern Visayas,2016,72.5
Zamboanga Peninsula,1990,469.96
Zamboanga Peninsula,1991,504.26
Zamboanga Peninsula,1992,325.32
Zamboanga Peninsula,1993,331.62
Zamboanga Peninsula,1994,340.31
Zamboanga Peninsula,1995,340.79
Zamboanga Peninsula,1996,343.08
Zamboanga Peninsula,1997,351
Zamboanga Peninsula,1998,332.24
Zamboanga Peninsula,1999,333.91
Zamboanga Peninsula,2000,189.42
Zamboanga Peninsula,2001,179.17
Zamboanga Peninsula,2002,186.86
Zamboanga Peninsula,2003,161.84
Zamboanga Peninsula,2004,157.22
Zamboanga Peninsula,2005,150.77
Zamboanga Peninsula,2006,150.42
Zamboanga Peninsula,2007,141.69
Zamboanga Peninsula,2008,135.29
Zamboanga Peninsula,2009,132.43
Zamboanga Peninsula,2010,121.63
Zamboanga Peninsula,2011,112.37
Zamboanga Peninsula,2012,115.24
Zamboanga Peninsula,2013,103.51
Zamboanga Peninsula,2014,128.3
Zamboanga Peninsula,2015,131.02
Zamboanga Peninsula,2016,127.3
Northern Mindanao,1990,838.53
Northern Mindanao,1991,788.94
Northern Mindanao,1992,612.2
Northern Mindanao,1993,532.42
Northern Mindanao,1994,523.67
Northern Mindanao,1995,525.94
Northern Mindanao,1996,522.45
Northern Mindanao,1997,531.18
Northern Mindanao,1998,554.41
Northern Mindanao,1999,574.01
Northern Mindanao,2000,565.04
Northern Mindanao,2001,494.25
Northern Mindanao,2002,507.65
Northern Mindanao,2003,489.5
Northern Mindanao,2004,482.07
Northern Mindanao,2005,497.68
Northern Mindanao,2006,546.9
Northern Mindanao,2007,548.5
Northern Mindanao,2008,550.88
Northern Mindanao,2009,561.58
Northern Mindanao,2010,554.52
Northern Mindanao,2011,396.07
Northern Mindanao,2012,220.94
Northern Mindanao,2013,196.31
Northern Mindanao,2014,175.87
Northern Mindanao,2015,164.06
Northern Mindanao,2016,180.16
Davao Region,1990,6299.88
Davao Region,1991,6211.74
Davao Region,1992,4926.45
Davao Region,1993,5197.25
Davao Region,1994,5459.25
Davao Region,1995,5589.26
Davao Region,1996,5668.88
Davao Region,1997,5533.86
Davao Region,1998,5178.88
Davao Region,1999,5464.44
Davao Region,2000,4684.88
Davao Region,2001,4655.08
Davao Region,2002,3936.43
Davao Region,2003,3780.04
Davao Region,2004,3757.72
Davao Region,2005,3881.79
Davao Region,2006,3597.53
Davao Region,2007,3475.9
Davao Region,2008,3469.67
Davao Region,2009,3509.89
Davao Region,2010,3506.33
Davao Region,2011,3617.11
Davao Region,2012,3762.89
Davao Region,2013,3844.3
Davao Region,2014,4365.9
Davao Region,2015,4920.27
Davao Region,2016,5073.83
SOCCSKSARGEN,1990,357.39
SOCCSKSARGEN,1991,330.47
SOCCSKSARGEN,1992,256.76
SOCCSKSARGEN,1993,243.2
SOCCSKSARGEN,1994,220.63
SOCCSKSARGEN,1995,198.61
SOCCSKSARGEN,1996,188.41
SOCCSKSARGEN,1997,221.59
SOCCSKSARGEN,1998,148.09
SOCCSKSARGEN,1999,150.57
SOCCSKSARGEN,2000,125.33
SOCCSKSARGEN,2001,128.49
SOCCSKSARGEN,2002,125.96
SOCCSKSARGEN,2003,122.08
SOCCSKSARGEN,2004,111.96
SOCCSKSARGEN,2005,105.88
SOCCSKSARGEN,2006,98.03
SOCCSKSARGEN,2007,86.17
SOCCSKSARGEN,2008,83.16
SOCCSKSARGEN,2009,79.38
SOCCSKSARGEN,2010,73.36
SOCCSKSARGEN,2011,72.71
SOCCSKSARGEN,2012,73.97
SOCCSKSARGEN,2013,79.1
SOCCSKSARGEN,2014,93.45
SOCCSKSARGEN,2015,103.77
SOCCSKSARGEN,2016,93.17
CARAGA,1990,684.18
CARAGA,1991,637.21
CARAGA,1992,503.73
CARAGA,1993,506.13
CARAGA,1994,471.33
CARAGA,1995,472.7
CARAGA,1996,523.41
CARAGA,1997,497.08
CARAGA,1998,497.04
CARAGA,1999,439.69
CARAGA,2000,367.8
CARAGA,2001,378.62
CARAGA,2002,354.12
CARAGA,2003,356.52
CARAGA,2004,358.06
CARAGA,2005,330.29
CARAGA,2006,307.75
CARAGA,2007,287.73
CARAGA,2008,213.23
