group,sector,year,quarter,total
Agriculture,"Agriculture, Hunting and Forestry",2001,1,10252
Agriculture,"Agriculture, Hunting and Forestry",2001,2,10915
Agriculture,"Agriculture, Hunting and Forestry",2001,3,10980
Agriculture,"Agriculture, Hunting and Forestry",2001,4,11253
Agriculture,"Agriculture, Hunting and Forestry",2002,1,11006
Agriculture,"Agriculture, Hunting and Forestry",2002,2,11025
Agriculture,"Agriculture, Hunting and Forestry",2002,3,11144
Agriculture,"Agriculture, Hunting and Forestry",2002,4,11311
Agriculture,"Agriculture, Hunting and Forestry",2003,1,11150
Agriculture,"Agriculture, Hunting and Forestry",2003,2,11155
Agriculture,"Agriculture, Hunting and Forestry",2003,3,10831
Agriculture,"Agriculture, Hunting and Forestry",2003,4,11741
Agriculture,"Agriculture, Hunting and Forestry",2004,1,11174
Agriculture,"Agriculture, Hunting and Forestry",2004,2,11113
Agriculture,"Agriculture, Hunting and Forestry",2004,3,11450
Agriculture,"Agriculture, Hunting and Forestry",2004,4,11785
Agriculture,"Agriculture, Hunting and Forestry",2005,1,11359
Agriculture,"Agriculture, Hunting and Forestry",2005,2,10993
Agriculture,"Agriculture, Hunting and Forestry",2005,3,11990
Agriculture,"Agriculture, Hunting and Forestry",2005,4,12171
Agriculture,"Agriculture, Hunting and Forestry",2006,1,11678
Agriculture,"Agriculture, Hunting and Forestry",2006,2,11281
Agriculture,"Agriculture, Hunting and Forestry",2006,3,11725
Agriculture,"Agriculture, Hunting and Forestry",2006,4,12043
Agriculture,"Agriculture, Hunting and Forestry",2007,1,11639
Agriculture,"Agriculture, Hunting and Forestry",2007,2,11853
Agriculture,"Agriculture, Hunting and Forestry",2007,3,11489
Agriculture,"Agriculture, Hunting and Forestry",2007,4,12160
Agriculture,"Agriculture, Hunting and Forestry",2008,1,11793
Agriculture,"Agriculture, Hunting and Forestry",2008,2,11905
Agriculture,"Agriculture, Hunting and Forestry",2008,3,12103
Agriculture,"Agriculture, Hunting and Forestry",2008,4,12321
Agriculture,"Agriculture, Hunting and Forestry",2009,1,11846
Agriculture,"Agriculture, Hunting and Forestry",2009,2,12313
Agriculture,"Agriculture, Hunting and Forestry",2009,3,11940
Agriculture,"Agriculture, Hunting and Forestry",2009,4,12072
Agriculture,"Agriculture, Hunting and Forestry",2010,1,11806
Agriculture,"Agriculture, Hunting and Forestry",2010,2,11512
Agriculture,"Agriculture, Hunting and Forestry",2010,3,12244
Agriculture,"Agriculture, Hunting and Forestry",2010,4,12265
Agriculture,"Agriculture, Hunting and Forestry",2011,1,11952
Agriculture,"Agriculture, Hunting and Forestry",2011,2,12155
Agriculture,"Agriculture, Hunting and Forestry",2011,3,12100
Agriculture,"Agriculture, Hunting and Forestry",2011,4,12855
Agriculture,"Agriculture, Hunting and Forestry",2012,1,12185
Agriculture,"Agriculture, Hunting and Forestry",2012,2,12470
Agriculture,"Agriculture, Hunting and Forestry",2012,3,11604
Agriculture,"Agriculture, Hunting and Forestry",2012,4,12156
Agriculture,"Agriculture, Hunting and Forestry",2013,1,11542
Agriculture,"Agriculture, Hunting and Forestry",2013,2,11844
Agriculture,"Agriculture, Hunting and Forestry",2013,3,11807
Agriculture,"Agriculture, Hunting and Forestry",2013,4,12148
Agriculture,"Agriculture, Hunting and Forestry",2014,1,10948
Agriculture,"Agriculture, Hunting and Forestry",2014,2,11883
Agriculture,"Agriculture, Hunting and Forestry",2014,3,11574
Agriculture,"Agriculture, Hunting and Forestry",2014,4,11947
Agriculture,"Agriculture, Hunting and Forestry",2015,1,11490
Agriculture,"Agriculture, Hunting and Forestry",2015,2,11480
Agriculture,"Agriculture, Hunting and Forestry",2015,3,10970
Agriculture,"Agriculture, Hunting and Forestry",2015,4,11761
Agriculture,"Agriculture, Hunting and Forestry",2016,1,10814
Agriculture,"Agriculture, Hunting and Forestry",2016,2,10389
Agriculture,"Agriculture, Hunting and Forestry",2016,3,11156
Agriculture,"Agriculture, Hunting and Forestry",2016,4,11638
Agriculture,"Agriculture, Hunting and Forestry",2017,1,10027
Agriculture,"Agriculture, Hunting and Forestry",2017,2,10514
Agriculture,Fishing,2001,1,1076
Agriculture,Fishing,2001,2,1168
Agriculture,Fishing,2001,3,1141
Agriculture,Fishing,2001,4,1151
Agriculture,Fishing,2002,1,1136
Agriculture,Fishing,2002,2,1237
Agriculture,Fishing,2002,3,1125
Agriculture,Fishing,2002,4,1136
Agriculture,Fishing,2003,1,1133
Agriculture,Fishing,2003,2,1185
Agriculture,Fishing,2003,3,1336
Agriculture,Fishing,2003,4,1400
Agriculture,Fishing,2004,1,1399
Agriculture,Fishing,2004,2,1338
Agriculture,Fishing,2004,3,1368
Agriculture,Fishing,2004,4,1365
Agriculture,Fishing,2005,1,1410
Agriculture,Fishing,2005,2,1363
Agriculture,Fishing,2005,3,1395
Agriculture,Fishing,2005,4,1408
Agriculture,Fishing,2006,1,1406
Agriculture,Fishing,2006,2,1427
Agriculture,Fishing,2006,3,1425
Agriculture,Fishing,2006,4,1412
Agriculture,Fishing,2007,1,1428
Agriculture,Fishing,2007,2,1566
Agriculture,Fishing,2007,3,1388
Agriculture,Fishing,2007,4,1393
Agriculture,Fishing,2008,1,1383
Agriculture,Fishing,2008,2,1454
Agriculture,Fishing,2008,3,1408
Agriculture,Fishing,2008,4,1460
Agriculture,Fishing,2009,1,1400
Agriculture,Fishing,2009,2,1472
Agriculture,Fishing,2009,3,1464
Agriculture,Fishing,2009,4,1509
Agriculture,Fishing,2010,1,1455
Agriculture,Fishing,2010,2,1439
Agriculture,Fishing,2010,3,1484
Agriculture,Fishing,2010,4,1496
Agriculture,Fishing,2011,1,1420
Agriculture,Fishing,2011,2,1492
Agriculture,Fishing,2011,3,1457
Agriculture,Fishing,2011,4,1486
Agriculture,Fishing,2012,1,1464
Agriculture,Fishing,2012,2,1472
Agriculture,Fishing,2012,4,1408
Agriculture,Fishing,2013,1,1342
Agriculture,Fishing,2013,2,1451
Agriculture,Fishing,2013,3,1426
Agriculture,Fishing,2013,4,1408
Agriculture,Fishing,2014,1,1249
Agriculture,Fishing,2014,2,1398
Agriculture,Fishing,2014,3,1361
Agriculture,Fishing,2014,4,1431
Agriculture,Fishing,2015,1,1310
Agriculture,Fishing,2015,2,1384
Agriculture,Fishing,2015,3,1285
Agriculture,Fishing,2015,4,1359
Agriculture,Fishing,2016,1,1305
Agriculture,Fishing,2016,2,1303
Agriculture,Fishing,2016,3,1261
Agriculture,Fishing,2016,4,1167
Agriculture,Fishing,2017,1,1157
Agriculture,Fishing,2017,2,1242
Industry,Mining and Quarrying,2001,1,118
Industry,Mining and Quarrying,2001,2,99
Industry,Mining and Quarrying,2001,3,93
Industry,Mining and Quarrying,2001,4,103
Industry,Mining and Quarrying,2002,1,115
Industry,Mining and Quarrying,2002,2,136
Industry,Mining and Quarrying,2002,3,101
Industry,Mining and Quarrying,2002,4,101
Industry,Mining and Quarrying,2003,1,99
Industry,Mining and Quarrying,2003,2,105
Industry,Mining and Quarrying,2003,3,112
Industry,Mining and Quarrying,2003,4,101
Industry,Mining and Quarrying,2004,1,123
Industry,Mining and Quarrying,2004,2,138
Industry,Mining and Quarrying,2004,3,114
Industry,Mining and Quarrying,2004,4,96
Industry,Mining and Quarrying,2005,1,129
Industry,Mining and Quarrying,2005,2,135
Industry,Mining and Quarrying,2005,3,111
Industry,Mining and Quarrying,2005,4,116
Industry,Mining and Quarrying,2006,1,120
Industry,Mining and Quarrying,2006,2,174
Industry,Mining and Quarrying,2006,3,133
Industry,Mining and Quarrying,2006,4,136
Industry,Mining and Quarrying,2007,1,144
Industry,Mining and Quarrying,2007,2,177
Industry,Mining and Quarrying,2007,3,139
Industry,Mining and Quarrying,2007,4,135
Industry,Mining and Quarrying,2008,1,152
Industry,Mining and Quarrying,2008,2,151
Industry,Mining and Quarrying,2008,3,154
Industry,Mining and Quarrying,2008,4,176
Industry,Mining and Quarrying,2009,1,152
Industry,Mining and Quarrying,2009,2,166
Industry,Mining and Quarrying,2009,3,177
Industry,Mining and Quarrying,2009,4,169
Industry,Mining and Quarrying,2010,1,193
Industry,Mining and Quarrying,2010,2,212
Industry,Mining and Quarrying,2010,3,194
Industry,Mining and Quarrying,2010,4,197
Industry,Mining and Quarrying,2011,1,184
Industry,Mining and Quarrying,2011,2,230
Industry,Mining and Quarrying,2011,3,205
Industry,Mining and Quarrying,2011,4,223
Industry,Mining and Quarrying,2012,1,238
Industry,Mining and Quarrying,2012,2,258
Industry,Mining and Quarrying,2012,3,262
Industry,Mining and Quarrying,2012,4,250
Industry,Mining and Quarrying,2013,1,255
Industry,Mining and Quarrying,2013,2,276
